Latitude (decimal degrees):	38.975
Longitude (decimal degrees):	-5.270
Elevation (m):	459
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230330:0910,529070.0,656.37,33.39,15.78,1.93,0.0
20230330:1010,484700.0,606.85,43.2,17.66,1.86,0.0
20230330:1110,791890.0,1033.22,50.79,19.36,2.34,0.0
20230330:1210,834140.0,1100.54,54.61,21.07,2.76,0.0
20230330:1310,812150.0,1067.53,53.41,22.57,3.24,0.0
20230330:1410,729470.0,946.05,47.62,23.57,3.59,0.0
20230330:1510,547640.0,696.54,38.83,23.94,3.79,0.0
20230330:1610,424650.0,539.46,28.38,23.77,4.0,0.0
20230330:1710,156160.0,215.51,17.1,23.05,3.86,0.0
20230330:1810,14960.0,44.83,5.49,21.83,2.9,0.0
20230330:1910,0.0,0.0,0.0,19.7,2.28,0.0
20230330:2010,0.0,0.0,0.0,18.39,2.14,0.0
20230330:2110,0.0,0.0,0.0,17.09,2.14,0.0
20230330:2210,0.0,0.0,0.0,15.96,2.28,0.0
20230330:2310,0.0,0.0,0.0,15.48,2.41,0.0
20230331:0010,0.0,0.0,0.0,15.06,2.55,0.0
20230331:0110,0.0,0.0,0.0,14.53,2.62,0.0
20230331:0210,0.0,0.0,0.0,14.01,2.48,0.0
20230331:0310,0.0,0.0,0.0,13.14,2.28,0.0
20230331:0410,0.0,0.0,0.0,12.34,2.07,0.0
20230331:0510,0.0,0.0,0.0,11.56,1.93,0.0
20230331:0610,0.0,0.0,0.0,10.82,1.79,0.0
20230331:0710,43690.0,68.49,11.22,11.21,1.66,0.0
20230331:0810,173720.0,220.9,22.74,12.97,2.62,0.0
20230331:0910,192120.0,242.07,33.72,14.15,2.76,0.0
20230331:1010,214840.0,269.93,43.55,15.43,3.31,0.0
20230331:1110,670610.0,834.6,51.18,17.0,3.79,0.0
20230331:1210,462620.0,571.69,55.01,18.23,4.28,0.0
20230331:1310,392930.0,487.66,53.77,19.36,4.69,0.0
20230331:1410,555870.0,693.09,47.91,20.31,4.48,0.0
20230331:1510,474920.0,590.44,39.07,21.06,4.69,0.0
20230331:1610,415760.0,519.36,28.58,21.07,4.69,0.0
20230331:1710,115380.0,159.9,17.29,20.64,4.62,0.0
20230331:1810,15950.0,42.77,5.67,19.71,3.79,0.0
20230331:1910,0.0,0.0,0.0,18.22,3.45,0.0
20230331:2010,0.0,0.0,0.0,17.41,3.38,0.0
20230331:2110,0.0,0.0,0.0,16.66,3.45,0.0
20230331:2210,0.0,0.0,0.0,15.78,3.45,0.0
20230331:2310,0.0,0.0,0.0,14.82,3.31,0.0
20230401:0010,0.0,0.0,0.0,13.99,3.17,0.0
20230401:0110,0.0,0.0,0.0,13.23,3.17,0.0
20230401:0210,0.0,0.0,0.0,12.4,3.1,0.0
20230401:0310,0.0,0.0,0.0,11.66,2.97,0.0
20230401:0410,0.0,0.0,0.0,11.03,2.97,0.0
20230401:0510,0.0,0.0,0.0,10.51,3.1,0.0
20230401:0610,0.0,0.0,0.0,10.11,2.83,0.0
20230401:0710,97460.0,152.68,11.53,10.15,2.48,0.0
20230401:0810,310680.0,381.78,23.05,11.26,3.24,0.0
20230401:0910,547250.0,660.1,34.05,12.89,3.45,0.0
20230401:1010,698210.0,861.79,43.91,15.05,3.45,0.0
20230401:1110,798900.0,1009.2,51.57,16.93,3.59,0.0
20230401:1210,847100.0,1079.31,55.4,18.51,4.21,0.0
20230401:1310,824680.0,1040.9,54.12,19.95,5.52,0.0
20230401:1410,737370.0,920.72,48.21,19.84,5.45,0.0
20230401:1510,395340.0,487.6,39.31,19.36,5.1,0.0
20230401:1610,395080.0,488.79,28.79,19.18,4.97,0.0
20230401:1710,190100.0,256.71,17.47,18.74,4.48,0.0
20230401:1810,19900.0,49.86,5.85,18.13,4.07,0.0
20230401:1910,0.0,0.0,0.0,17.08,4.21,0.0
20230401:2010,0.0,0.0,0.0,16.3,4.07,0.0
20230401:2110,0.0,0.0,0.0,15.89,4.21,0.0
20230401:2210,0.0,0.0,0.0,15.36,4.07,0.0
20230401:2310,0.0,0.0,0.0,14.51,3.59,0.0
20230402:0010,0.0,0.0,0.0,14.03,3.38,0.0
20230402:0110,0.0,0.0,0.0,13.44,3.24,0.0
20230402:0210,0.0,0.0,0.0,12.96,2.9,0.0
20230402:0310,0.0,0.0,0.0,12.36,2.28,0.0
20230402:0410,0.0,0.0,0.0,11.52,1.72,0.0
20230402:0510,0.0,0.0,0.0,10.45,1.38,0.0
20230402:0610,0.0,0.0,0.0,9.52,1.31,0.0
20230402:0710,101010.0,155.56,11.83,9.99,1.45,0.0
20230402:0810,345880.0,428.33,23.36,12.57,2.83,0.0
20230402:0910,562810.0,683.1,34.38,13.96,3.52,0.0
20230402:1010,708130.0,879.23,44.27,15.52,3.31,0.0
20230402:1110,808250.0,1033.12,51.95,17.06,2.97,0.0
20230402:1210,842190.0,1104.31,55.79,18.33,2.34,0.0
20230402:1310,808850.0,1070.25,54.47,19.31,1.86,0.0
20230402:1410,744590.0,971.12,48.5,20.02,2.07,0.0
20230402:1510,628100.0,801.34,39.54,20.35,2.34,0.0
20230402:1610,440330.0,556.53,28.99,20.3,2.41,0.0
20230402:1710,212230.0,290.68,17.66,19.9,2.41,0.0
20230402:1810,20190.0,53.36,6.03,19.05,1.93,0.0
20230402:1910,0.0,0.0,0.0,17.2,1.86,0.0
20230402:2010,0.0,0.0,0.0,15.31,1.86,0.0
20230402:2110,0.0,0.0,0.0,13.58,1.79,0.0
20230402:2210,0.0,0.0,0.0,13.24,1.45,0.0
20230402:2310,0.0,0.0,0.0,13.69,1.1,0.0
20230403:0010,0.0,0.0,0.0,11.09,1.45,0.0
20230403:0110,0.0,0.0,0.0,9.7,1.93,0.0
20230403:0210,0.0,0.0,0.0,9.31,2.14,0.0
20230403:0310,0.0,0.0,0.0,8.88,2.14,0.0
20230403:0410,0.0,0.0,0.0,8.52,2.21,0.0
20230403:0510,0.0,0.0,0.0,8.22,2.21,0.0
20230403:0610,0.0,0.0,0.0,7.85,2.21,0.0
20230403:0710,111640.0,171.99,12.13,7.63,1.66,0.0
20230403:0810,349160.0,434.1,23.67,11.79,1.59,0.0
20230403:0910,557080.0,685.9,34.7,14.06,2.07,0.0
20230403:1010,698070.0,885.87,44.62,15.98,1.86,0.0
20230403:1110,779720.0,1027.6,52.33,17.57,1.31,0.0
20230403:1210,815650.0,1097.41,56.18,18.84,1.17,0.0
20230403:1310,766330.0,1020.53,54.82,19.81,1.38,0.0
20230403:1410,679600.0,889.29,48.78,20.46,1.52,0.0
20230403:1510,573610.0,735.83,39.78,20.79,1.72,0.0
20230403:1610,434260.0,553.2,29.19,20.77,1.79,0.0
20230403:1710,140240.0,192.41,17.84,20.38,1.86,0.0
20230403:1810,19850.0,41.92,6.21,19.43,1.45,0.0
20230403:1910,0.0,0.0,0.0,17.63,1.72,0.0
20230403:2010,0.0,0.0,0.0,15.99,1.38,0.0
20230403:2110,0.0,0.0,0.0,16.17,0.97,0.0
20230403:2210,0.0,0.0,0.0,16.69,0.76,0.0
20230403:2310,0.0,0.0,0.0,16.05,0.48,0.0
20230404:0010,0.0,0.0,0.0,15.62,0.14,0.0
20230404:0110,0.0,0.0,0.0,15.03,0.34,0.0
20230404:0210,0.0,0.0,0.0,14.36,0.28,0.0
20230404:0310,0.0,0.0,0.0,11.24,1.24,0.0
20230404:0410,0.0,0.0,0.0,10.64,1.79,0.0
20230404:0510,0.0,0.0,0.0,10.26,1.79,0.0
20230404:0610,0.0,0.0,0.0,9.76,1.86,0.0
20230404:0710,103830.0,156.84,12.43,9.96,1.79,0.0
20230404:0810,330650.0,414.7,23.97,14.21,1.79,0.0
20230404:0910,541780.0,673.54,35.03,17.13,2.48,0.0
20230404:1010,688120.0,879.58,44.97,19.19,2.41,0.0
20230404:1110,787190.0,1038.41,52.71,20.66,2.14,0.0
20230404:1210,830410.0,1108.19,56.57,21.73,2.34,0.0
20230404:1310,818060.0,1086.2,55.17,22.49,2.69,0.0
20230404:1410,735980.0,962.17,49.07,22.94,2.83,0.0
20230404:1510,619190.0,794.05,40.01,23.09,3.03,0.0
20230404:1610,441150.0,561.62,29.39,22.96,3.24,0.0
20230404:1710,211140.0,292.01,18.03,22.43,3.45,0.0
20230404:1810,20620.0,55.63,6.39,21.37,2.97,0.0
20230404:1910,0.0,0.0,0.0,19.26,2.48,0.0
20230404:2010,0.0,0.0,0.0,17.38,2.48,0.0
20230404:2110,0.0,0.0,0.0,15.84,2.55,0.0
20230404:2210,0.0,0.0,0.0,14.55,2.55,0.0
20230404:2310,0.0,0.0,0.0,13.55,2.69,0.0
20230405:0010,0.0,0.0,0.0,12.79,2.83,0.0
20230405:0110,0.0,0.0,0.0,12.32,3.03,0.0
20230405:0210,0.0,0.0,0.0,11.81,3.03,0.0
20230405:0310,0.0,0.0,0.0,11.17,2.83,0.0
20230405:0410,0.0,0.0,0.0,10.54,2.69,0.0
20230405:0510,0.0,0.0,0.0,9.97,2.62,0.0
20230405:0610,0.0,0.0,0.0,9.58,2.62,0.0
20230405:0710,118250.0,182.27,12.73,9.88,2.62,0.0
20230405:0810,362380.0,447.56,24.28,12.44,2.97,0.0
20230405:0910,571040.0,700.16,35.35,15.05,3.1,0.0
20230405:1010,713460.0,901.01,45.32,17.63,2.97,0.0
20230405:1110,805950.0,1049.2,53.09,19.86,2.83,0.0
20230405:1210,843710.0,1118.79,56.95,21.48,2.76,0.0
20230405:1310,820500.0,1090.3,55.52,22.65,2.76,0.0
20230405:1410,747600.0,983.44,49.35,23.43,2.76,0.0
20230405:1510,626980.0,811.5,40.24,23.79,2.69,0.0
20230405:1610,447540.0,575.23,29.59,23.77,2.62,0.0
20230405:1710,217430.0,303.02,18.21,23.37,2.55,0.0
20230405:1810,21050.0,58.46,6.57,22.11,1.93,0.0
20230405:1910,0.0,0.0,0.0,19.52,2.14,0.0
20230405:2010,0.0,0.0,0.0,17.14,2.0,0.0
20230405:2110,0.0,0.0,0.0,15.06,1.93,0.0
20230405:2210,0.0,0.0,0.0,13.8,1.79,0.0
20230405:2310,0.0,0.0,0.0,12.37,1.86,0.0
20230406:0010,0.0,0.0,0.0,11.03,2.0,0.0
20230406:0110,0.0,0.0,0.0,10.18,2.0,0.0
20230406:0210,0.0,0.0,0.0,9.41,1.86,0.0
20230406:0310,0.0,0.0,0.0,8.81,1.86,0.0
20230406:0410,0.0,0.0,0.0,8.45,1.93,0.0
20230406:0510,0.0,0.0,0.0,8.17,1.93,0.0
20230406:0610,0.0,0.0,0.0,8.22,1.86,0.0
20230406:0710,120910.0,185.75,13.02,8.95,1.72,0.0
20230406:0810,344590.0,431.92,24.58,13.49,1.38,0.0
20230406:0910,543660.0,683.43,35.67,17.34,1.66,0.0
20230406:1010,676880.0,878.21,45.66,19.85,1.66,0.0
20230406:1110,768600.0,1030.32,53.47,21.94,1.59,0.0
20230406:1210,809510.0,1105.25,57.34,23.32,1.59,0.0
20230406:1310,788860.0,1075.62,55.86,24.24,1.66,0.0
20230406:1410,723170.0,975.34,49.63,24.83,1.59,0.0
20230406:1510,609650.0,804.67,40.47,25.13,1.66,0.0
20230406:1610,435060.0,566.35,29.78,25.06,1.86,0.0
20230406:1710,211410.0,297.59,18.39,24.62,1.93,0.0
20230406:1810,21780.0,57.59,6.75,23.12,1.66,0.0
20230406:1910,0.0,0.0,0.0,20.47,1.86,0.0
20230406:2010,0.0,0.0,0.0,17.98,1.93,0.0
20230406:2110,0.0,0.0,0.0,16.38,2.07,0.0
20230406:2210,0.0,0.0,0.0,14.68,2.0,0.0
20230406:2310,0.0,0.0,0.0,13.97,1.66,0.0
20230407:0010,0.0,0.0,0.0,12.05,2.14,0.0
20230407:0110,0.0,0.0,0.0,11.19,2.21,0.0
20230407:0210,0.0,0.0,0.0,10.58,2.14,0.0
20230407:0310,0.0,0.0,0.0,9.94,2.14,0.0
20230407:0410,0.0,0.0,0.0,9.2,2.0,0.0
20230407:0510,0.0,0.0,0.0,8.57,1.79,0.0
20230407:0610,0.0,1.75,1.68,8.37,1.66,0.0
20230407:0710,121480.0,184.76,13.32,8.76,1.52,0.0
20230407:0810,352930.0,443.76,24.88,13.86,1.24,0.0
20230407:0910,552480.0,695.39,35.98,16.85,1.45,0.0
20230407:1010,684710.0,893.31,46.01,19.18,1.24,0.0
20230407:1110,771550.0,1044.98,53.84,21.22,1.03,0.0
20230407:1210,802560.0,1113.15,57.72,22.94,0.9,0.0
20230407:1310,779390.0,1089.96,56.2,24.25,0.69,0.0
20230407:1410,715500.0,988.27,49.91,24.97,0.62,0.0
20230407:1510,598260.0,801.17,40.69,25.27,0.83,0.0
20230407:1610,429310.0,564.45,29.98,25.22,1.03,0.0
20230407:1710,205400.0,289.91,18.57,24.81,1.24,0.0
20230407:1810,21780.0,58.54,6.92,23.44,1.31,0.0
20230407:1910,0.0,0.0,0.0,21.09,1.66,0.0
20230407:2010,0.0,0.0,0.0,19.17,1.52,0.0
20230407:2110,0.0,0.0,0.0,20.93,0.76,0.0
20230407:2210,0.0,0.0,0.0,16.48,1.86,0.0
20230407:2310,0.0,0.0,0.0,13.79,2.28,0.0
20230408:0010,0.0,0.0,0.0,13.16,2.28,0.0
20230408:0110,0.0,0.0,0.0,12.28,2.14,0.0
20230408:0210,0.0,0.0,0.0,11.4,2.0,0.0
20230408:0310,0.0,0.0,0.0,10.59,1.93,0.0
20230408:0410,0.0,0.0,0.0,9.91,1.79,0.0
20230408:0510,0.0,0.0,0.0,9.69,1.66,0.0
20230408:0610,0.0,4.37,1.97,9.74,1.52,0.0
20230408:0710,122380.0,186.48,13.61,9.79,1.31,0.0
20230408:0810,349860.0,444.82,25.18,15.02,0.62,0.0
20230408:0910,539530.0,694.84,36.3,18.49,0.48,0.0
20230408:1010,662710.0,891.34,46.35,21.12,0.28,0.0
20230408:1110,744820.0,1036.4,54.21,23.21,0.34,0.0
20230408:1210,787460.0,1116.01,58.1,24.76,0.48,0.0
20230408:1310,771310.0,1091.61,56.54,25.77,0.55,0.0
20230408:1410,704670.0,973.37,50.18,26.41,0.83,0.0
20230408:1510,598820.0,801.74,40.92,26.71,1.24,0.0
20230408:1610,429690.0,565.16,30.17,26.67,1.66,0.0
20230408:1710,209610.0,297.6,18.74,26.22,2.07,0.0
20230408:1810,22420.0,59.11,7.1,24.83,1.93,0.0
20230408:1910,0.0,0.0,0.0,22.32,2.07,0.0
20230408:2010,0.0,0.0,0.0,19.97,1.93,0.0
20230408:2110,0.0,0.0,0.0,18.78,1.86,0.0
20230408:2210,0.0,0.0,0.0,17.98,1.66,0.0
20230408:2310,0.0,0.0,0.0,18.35,1.31,0.0
20230409:0010,0.0,0.0,0.0,16.43,1.52,0.0
20230409:0110,0.0,0.0,0.0,14.19,1.72,0.0
20230409:0210,0.0,0.0,0.0,13.64,1.45,0.0
20230409:0310,0.0,0.0,0.0,14.35,1.17,0.0
20230409:0410,0.0,0.0,0.0,14.43,0.9,0.0
20230409:0510,0.0,0.0,0.0,13.96,0.97,0.0
20230409:0610,0.0,5.25,2.27,13.3,1.24,0.0
20230409:0710,117410.0,177.96,13.89,12.44,1.03,0.0
20230409:0810,331000.0,423.73,25.47,16.49,0.48,0.0
20230409:0910,515280.0,665.29,36.61,19.81,0.55,0.0
20230409:1010,656010.0,874.05,46.69,22.51,0.9,0.0
20230409:1110,749570.0,1029.38,54.58,24.73,1.1,0.0
20230409:1210,793080.0,1101.31,58.48,26.2,1.45,0.0
20230409:1310,769040.0,1058.81,56.88,27.15,1.79,0.0
20230409:1410,700880.0,947.12,50.46,27.78,2.14,0.0
20230409:1510,578100.0,761.8,41.14,28.05,2.62,0.0
20230409:1610,397190.0,519.28,30.36,27.89,2.9,0.0
20230409:1710,188690.0,266.89,18.92,27.34,2.9,0.0
20230409:1810,25250.0,57.06,7.27,25.97,2.07,0.0
20230409:1910,0.0,0.0,0.0,23.48,2.21,0.0
20230409:2010,0.0,0.0,0.0,21.52,2.14,0.0
20230409:2110,0.0,0.0,0.0,19.82,2.21,0.0
20230409:2210,0.0,0.0,0.0,18.39,2.41,0.0
20230409:2310,0.0,0.0,0.0,17.39,2.55,0.0
20230410:0010,0.0,0.0,0.0,16.45,2.41,0.0
20230410:0110,0.0,0.0,0.0,15.37,2.07,0.0
20230410:0210,0.0,0.0,0.0,14.27,1.86,0.0
20230410:0310,0.0,0.0,0.0,13.52,1.79,0.0
20230410:0410,0.0,0.0,0.0,12.68,1.86,0.0
20230410:0510,0.0,0.0,0.0,11.92,1.86,0.0
20230410:0610,170.0,6.12,2.55,11.53,1.66,0.0
20230410:0710,110960.0,162.9,14.18,12.29,1.31,0.0
20230410:0810,330780.0,420.37,25.76,16.77,1.38,0.0
20230410:0910,527400.0,665.19,36.91,19.09,2.0,0.0
20230410:1010,662160.0,856.2,47.02,21.27,2.21,0.0
20230410:1110,767290.0,1014.4,54.95,23.17,2.62,0.0
20230410:1210,815370.0,1092.82,58.85,24.55,2.83,0.0
20230410:1310,787390.0,1055.63,57.21,25.74,2.9,0.0
20230410:1410,708090.0,938.65,50.73,26.5,2.97,0.0
20230410:1510,594820.0,774.42,41.36,26.82,3.24,0.0
20230410:1610,415840.0,538.18,30.55,26.7,3.59,0.0
20230410:1710,202420.0,285.45,19.1,26.13,3.59,0.0
20230410:1810,22590.0,59.65,7.45,25.01,2.76,0.0
20230410:1910,0.0,0.0,0.0,22.67,2.14,0.0
20230410:2010,0.0,0.0,0.0,20.77,2.21,0.0
20230410:2110,0.0,0.0,0.0,19.06,2.28,0.0
20230410:2210,0.0,0.0,0.0,17.62,2.41,0.0
20230410:2310,0.0,0.0,0.0,16.56,2.48,0.0
20230411:0010,0.0,0.0,0.0,15.59,2.34,0.0
20230411:0110,0.0,0.0,0.0,14.55,2.21,0.0
20230411:0210,0.0,0.0,0.0,13.52,2.0,0.0
20230411:0310,0.0,0.0,0.0,12.66,1.86,0.0
20230411:0410,0.0,0.0,0.0,11.97,1.79,0.0
20230411:0510,0.0,0.0,0.0,11.33,1.72,0.0
20230411:0610,1710.0,9.62,2.84,11.02,1.52,0.0
20230411:0710,124750.0,189.99,14.46,11.88,1.03,0.0
20230411:0810,348830.0,442.75,26.05,15.57,0.97,0.0
20230411:0910,536260.0,682.94,37.22,17.92,0.9,0.0
20230411:1010,668950.0,878.72,47.35,20.46,1.1,0.0
20230411:1110,760430.0,1020.59,55.31,22.79,1.66,0.0
20230411:1210,805210.0,1084.69,59.23,24.44,2.41,0.0
20230411:1310,794800.0,1066.55,57.54,25.53,2.83,0.0
20230411:1410,721950.0,954.01,50.99,26.21,3.17,0.0
20230411:1510,602910.0,781.56,41.58,26.44,3.52,0.0
20230411:1610,427780.0,552.35,30.74,26.25,3.66,0.0
20230411:1710,207290.0,292.68,19.27,25.69,3.59,0.0
20230411:1810,23670.0,59.04,7.62,24.69,2.97,0.0
20230411:1910,0.0,0.0,0.0,22.74,2.55,0.0
20230411:2010,0.0,0.0,0.0,21.2,2.55,0.0
20230411:2110,0.0,0.0,0.0,19.98,2.83,0.0
20230411:2210,0.0,0.0,0.0,18.87,3.03,0.0
20230411:2310,0.0,0.0,0.0,17.7,2.97,0.0
20230412:0010,0.0,0.0,0.0,16.52,2.76,0.0
20230412:0110,0.0,0.0,0.0,15.43,2.69,0.0
20230412:0210,0.0,0.0,0.0,14.39,2.83,0.0
20230412:0310,0.0,0.0,0.0,13.37,2.97,0.0
20230412:0410,0.0,0.0,0.0,12.45,3.03,0.0
20230412:0510,0.0,0.0,0.0,11.58,2.97,0.0
20230412:0610,2150.0,10.49,3.12,10.88,2.76,0.0
20230412:0710,127560.0,191.76,14.74,10.98,3.1,0.0
20230412:0810,358740.0,440.68,26.34,12.2,3.31,0.0
20230412:0910,561760.0,682.64,37.52,14.12,3.45,0.0
20230412:1010,701000.0,870.67,47.68,16.13,3.52,0.0
20230412:1110,784590.0,991.47,55.67,18.04,4.0,0.0
20230412:1210,771610.0,978.89,59.6,19.46,4.41,0.0
20230412:1310,728360.0,921.62,57.87,20.51,4.76,0.0
20230412:1410,424430.0,528.6,51.26,20.66,4.97,0.0
20230412:1510,383860.0,477.35,41.79,20.6,5.03,0.0
20230412:1610,179140.0,232.26,30.93,20.34,5.1,0.0
20230412:1710,156180.0,211.06,19.45,19.91,5.38,0.0
20230412:1810,25010.0,46.91,7.8,18.79,5.1,0.0
20230412:1910,0.0,0.0,0.0,17.37,4.69,0.0
20230412:2010,0.0,0.0,0.0,16.17,4.41,0.0
20230412:2110,0.0,0.0,0.0,15.26,4.07,0.0
20230412:2210,0.0,0.0,0.0,14.15,4.14,0.0
20230412:2310,0.0,0.0,0.0,13.06,3.79,0.0
20230413:0010,0.0,0.0,0.0,12.08,3.52,0.0
20230413:0110,0.0,0.0,0.0,11.21,3.45,0.0
20230413:0210,0.0,0.0,0.0,10.5,3.52,0.0
20230413:0310,0.0,0.0,0.0,9.82,3.24,0.0
20230413:0410,0.0,0.0,0.0,9.19,3.1,0.0
20230413:0510,0.0,0.0,0.0,8.61,3.03,0.0
20230413:0610,4140.0,13.99,3.41,8.1,2.55,0.0
20230413:0710,133300.0,196.94,15.02,8.02,2.9,0.0
20230413:0810,368550.0,447.14,26.62,9.28,2.97,0.0
20230413:0910,567440.0,683.96,37.82,11.17,2.83,0.0
20230413:1010,713640.0,882.81,48.0,13.2,2.76,0.0
20230413:1110,801240.0,1010.17,56.03,15.11,3.17,0.0
20230413:1210,856990.0,1093.58,59.97,16.61,3.52,0.0
20230413:1310,833220.0,1061.63,58.2,17.75,3.79,0.0
20230413:1410,758110.0,955.54,51.52,18.44,4.0,0.0
20230413:1510,539870.0,668.19,42.0,18.68,4.07,0.0
20230413:1610,325460.0,405.14,31.11,18.54,4.21,0.0
20230413:1710,218470.0,296.76,19.62,18.02,4.34,0.0
20230413:1810,29890.0,58.87,7.97,17.18,4.07,0.0
20230413:1910,0.0,0.0,0.0,15.87,2.97,0.0
20230413:2010,0.0,0.0,0.0,14.83,2.83,0.0
20230413:2110,0.0,0.0,0.0,14.0,2.62,0.0
20230413:2210,0.0,0.0,0.0,13.15,2.48,0.0
20230413:2310,0.0,0.0,0.0,12.36,2.21,0.0
20230414:0010,0.0,0.0,0.0,11.7,2.34,0.0
20230414:0110,0.0,0.0,0.0,11.14,2.41,0.0
20230414:0210,0.0,0.0,0.0,10.6,2.34,0.0
20230414:0310,0.0,0.0,0.0,10.05,2.34,0.0
20230414:0410,0.0,0.0,0.0,9.52,2.28,0.0
20230414:0510,0.0,0.0,0.0,9.07,2.21,0.0
20230414:0610,3620.0,13.12,3.68,8.72,2.21,0.0
20230414:0710,125780.0,183.96,15.3,9.47,2.07,0.0
20230414:0810,342600.0,420.22,26.9,11.46,2.76,0.0
20230414:0910,526370.0,639.42,38.11,13.66,3.03,0.0
20230414:1010,686990.0,851.42,48.33,15.56,3.31,0.0
20230414:1110,786660.0,994.04,56.39,17.47,3.72,0.0
20230414:1210,829180.0,1055.51,60.33,18.85,4.28,0.0
20230414:1310,807150.0,1024.69,58.52,20.33,4.97,0.0
20230414:1410,727780.0,915.02,51.78,21.05,5.31,0.0
20230414:1510,588470.0,729.91,42.22,20.87,5.45,0.0
20230414:1610,296940.0,372.74,31.29,20.52,5.38,0.0
20230414:1710,204590.0,279.84,19.79,19.94,5.1,0.0
20230414:1810,28580.0,59.89,8.14,18.98,4.34,0.0
20230414:1910,0.0,0.0,0.0,18.45,4.14,0.0
20230414:2010,0.0,0.0,0.0,16.99,4.14,0.0
20230414:2110,0.0,0.0,0.0,15.69,4.07,0.0
20230414:2210,0.0,0.0,0.0,14.58,3.86,0.0
20230414:2310,0.0,0.0,0.0,13.68,3.59,0.0
20230415:0010,0.0,0.0,0.0,12.96,3.31,0.0
20230415:0110,0.0,0.0,0.0,12.32,2.97,0.0
20230415:0210,0.0,0.0,0.0,11.7,2.55,0.0
20230415:0310,0.0,0.0,0.0,11.09,2.07,0.0
20230415:0410,0.0,0.0,0.0,10.41,1.72,0.0
20230415:0510,0.0,0.0,0.0,9.47,1.45,0.0
20230415:0610,5700.0,16.61,3.96,8.74,1.38,0.0
20230415:0710,133410.0,199.46,15.57,10.66,1.45,0.0
20230415:0810,359710.0,447.72,27.18,13.03,1.72,0.0
20230415:0910,548610.0,684.17,38.4,15.01,1.38,0.0
20230415:1010,676540.0,875.44,48.64,17.23,1.03,0.0
20230415:1110,756130.0,1007.82,56.74,19.45,1.1,0.0
20230415:1210,797750.0,1076.63,60.69,21.33,1.45,0.0
20230415:1310,779510.0,1051.04,58.84,22.79,1.66,0.0
20230415:1410,715780.0,950.04,52.04,23.83,2.0,0.0
20230415:1510,596460.0,773.31,42.42,24.39,2.48,0.0
20230415:1610,422870.0,544.28,31.48,24.48,2.9,0.0
20230415:1710,207020.0,291.27,19.96,24.14,3.1,0.0
20230415:1810,25480.0,61.64,8.31,23.33,2.69,0.0
20230415:1910,0.0,0.0,0.0,21.86,2.07,0.0
20230415:2010,0.0,0.0,0.0,20.12,2.07,0.0
20230415:2110,0.0,0.0,0.0,18.4,1.86,0.0
20230415:2210,0.0,0.0,0.0,16.88,1.59,0.0
20230415:2310,0.0,0.0,0.0,15.99,1.31,0.0
20230416:0010,0.0,0.0,0.0,14.51,1.52,0.0
20230416:0110,0.0,0.0,0.0,13.35,2.0,0.0
20230416:0210,0.0,0.0,0.0,13.67,2.69,0.0
20230416:0310,0.0,0.0,0.0,13.96,3.1,0.0
20230416:0410,0.0,0.0,0.0,13.94,3.38,0.0
20230416:0510,0.0,0.0,0.0,13.52,3.45,0.0
20230416:0610,7190.0,19.24,4.23,13.02,3.38,0.0
20230416:0710,136200.0,205.86,15.84,13.92,2.83,0.0
20230416:0810,367320.0,456.3,27.45,15.4,3.93,0.0
20230416:0910,557960.0,687.19,38.69,17.12,3.66,0.0
20230416:1010,701840.0,888.21,48.96,19.03,3.24,0.0
20230416:1110,784280.0,1021.86,57.09,20.91,2.9,0.0
20230416:1210,816290.0,1084.26,61.05,22.53,2.69,0.0
20230416:1310,787880.0,1051.3,59.16,23.86,2.55,0.0
20230416:1410,722430.0,956.36,52.29,24.83,2.55,0.0
20230416:1510,598160.0,778.52,42.63,25.37,2.62,0.0
20230416:1610,423220.0,548.34,31.66,25.54,2.76,0.0
20230416:1710,206820.0,293.22,20.13,25.25,2.76,0.0
20230416:1810,24200.0,61.88,8.49,24.45,2.21,0.0
20230416:1910,0.0,0.0,0.0,22.52,1.93,0.0
20230416:2010,0.0,0.0,0.0,20.26,1.79,0.0
20230416:2110,0.0,0.0,0.0,18.12,1.86,0.0
20230416:2210,0.0,0.0,0.0,16.54,1.86,0.0
20230416:2310,0.0,0.0,0.0,15.16,1.93,0.0
20230417:0010,0.0,0.0,0.0,14.14,1.86,0.0
20230417:0110,0.0,0.0,0.0,13.52,2.14,0.0
20230417:0210,0.0,0.0,0.0,13.66,2.76,0.0
20230417:0310,0.0,0.0,0.0,13.82,3.03,0.0
20230417:0410,0.0,0.0,0.0,13.74,3.1,0.0
20230417:0510,0.0,0.0,0.0,13.35,2.97,0.0
20230417:0610,8900.0,21.86,4.5,12.84,2.76,0.0
20230417:0710,139510.0,209.95,16.1,13.38,2.28,0.0
20230417:0810,368190.0,461.67,27.72,16.26,2.9,0.0
20230417:0910,557990.0,696.02,38.97,18.65,3.1,0.0
20230417:1010,693770.0,887.18,49.27,20.9,3.17,0.0
20230417:1110,782240.0,1025.6,57.43,22.77,3.17,0.0
20230417:1210,817160.0,1088.02,61.41,24.11,3.1,0.0
20230417:1310,799950.0,1068.48,59.47,25.09,3.03,0.0
